lat;lon;frp
-8631800;-62554200;45.6
-8650200;-62572400;61.2
-8854800;-62450300;59.6
-8855000;-62431300;57.5
-8873500;-62430500;47.1
-8873600;-62411500;81.5
-8873700;-62392500;54.9
-8892200;-62410700;65.6
-8892300;-62391700;46.5
-8907700;-66725400;52.4
-8907800;-66706900;102.8
-8907900;-66688300;52.7
-8929100;-62447100;44.5
-8926300;-66706400;67.2
-8947600;-62446400;49.2
-8948100;-62370400;57.0
-8966500;-62388600;82.5
-8966600;-62369600;74.7
-9040800;-65902800;48.9
-9040800;-65884200;98.1
-9040900;-65865500;73.3
-9059400;-65883600;100.7
-9059500;-65865000;80.2
-9121500;-61371700;55.5
-9121600;-61352600;51.7
-9191400;-59384300;56.5
-9172000;-65562800;49.3
-9189500;-65786300;55.8
-9217700;-60888100;130.1
-9208100;-65785700;58.9
-9208100;-65767000;50.3
-9326700;-64301600;56.4
-9350000;-63452400;77.1
-9406200;-60532600;49.7
-9556300;-66725600;61.5
-9673700;-53659200;52.9
-9673900;-53638700;80.2
-9692500;-53657700;80.7
-9692700;-53637200;64.5
-9683500;-58459300;48.0
-9702200;-58458200;49.6
-9779300;-63169500;101.6
-9779400;-63150500;61.9
-9797900;-63168600;126.8
-9798100;-63149700;72.9
-10909300;-54127600;59.8
-10909500;-54107100;46.9
-3076100;-59432600;94.6
-3076200;-59413400;171.0
-5116600;-48309500;52.9
-5105700;-60283000;48.3
-5234800;-60107500;54.3
-5307800;-60200800;56.0
-6429800;-60049100;81.4
-6710000;-59346700;68.1
-6710100;-59327400;99.6
-6710200;-59308100;74.6
-6728400;-59346000;56.7
-6728500;-59326700;61.1
-6728600;-59307400;74.0
-7041800;-62932500;120.0
-7041900;-62913700;54.1
-7098100;-59234300;54.7
-7182000;-60690400;59.6
-7182200;-60671300;51.5
-7200500;-60689700;101.4
-7200600;-60670600;82.9
-7403900;-64346900;60.0
-7422300;-64346400;62.5
-7422400;-64327700;43.8
-8427000;-62751700;103.4
-8427100;-62732700;54.2
-8503300;-54822200;63.6
-8631700;-62573200;99.1
-8650200;-62572400;59.7
-8854800;-62450300;50.3
-8855000;-62431300;56.2
-8873500;-62430500;50.2
-8873600;-62411500;82.1
-8873700;-62392500;65.8
-8892200;-62410700;63.4
-8892300;-62391700;48.1
-8907800;-66706900;96.0
-8926300;-66706400;80.4
-8947600;-62446400;55.8
-8948100;-62370400;51.1
-8966500;-62388600;62.7
-8966600;-62369600;64.7
-9040800;-65902800;46.7
-9040800;-65884200;98.6
-9040900;-65865500;75.3
-9059400;-65883600;101.6
-9059500;-65865000;78.4
-9191400;-59384300;54.2
-9172000;-65562800;46.1
-9189500;-65786300;50.2
-9217700;-60888100;117.3
-9208100;-65785700;52.3
-9208100;-65767000;46.0
-9350000;-63452400;81.1
-9556300;-66725600;58.9
-9673700;-53659200;46.9
-9673900;-53638700;69.1
-9692500;-53657700;71.7
-9692700;-53637200;70.6
-9779300;-63169500;65.9
-9797900;-63168600;99.5
-9798100;-63149700;70.4
-10621500;-54581200;49.8
-10909300;-54127600;53.8
-10909500;-54107100;50.4
-14099200;-60422800;52.5
-14099400;-60403200;63.5
-8912670;-48522890;6.3
-9042630;-50794280;7.1
-9041380;-50785340;10.8
-8589100;-50509880;5.5
-9804170;-53521680;8.6
-9804120;-53516050;16.2
-9802660;-53504760;6.8
-9802650;-53510410;16.0
-9792710;-53511690;45.0
-9791200;-53500430;10.7
-9672110;-53523090;8.7
-11282930;-52816180;6.8
-9693280;-53682900;9.7
-9691750;-53671350;32.4
-9690220;-53659820;44.8
-9688710;-53648340;51.7
-9687190;-53636890;24.3
-9681740;-53672770;9.7
-9680230;-53661250;10.2
-9678710;-53649730;63.6
